language,page,language_script,gold_grapheme_count
Malay-English,page_250,English-Latin,834
Malay-English,page_250,Malay-Arabic,288
Malay-English,page_250,Malay-Latin,351
Malay-English,page_315,English-Latin,762
Malay-English,page_315,Malay-Arabic,318
Malay-English,page_315,Malay-Latin,334
Malay-English,page_404,English-Latin,982
Malay-English,page_404,Malay-Arabic,281
Malay-English,page_404,Malay-Latin,292
Na-English-Chinese-French,page_19,Chinese-Han,156
Na-English-Chinese-French,page_19,English-Latin,1018
Na-English-Chinese-French,page_19,French-Latin,768
Na-English-Chinese-French,page_19,Na-IPA,255
Na-English-Chinese-French,page_19,Na-Latin,23
Na-English-Chinese-French,page_186,Chinese-Han,128
Na-English-Chinese-French,page_186,English-Latin,862
Na-English-Chinese-French,page_186,French-Latin,708
Na-English-Chinese-French,page_186,Na-IPA,324
Na-English-Chinese-French,page_186,Na-Latin,41
Na-English-Chinese-French,page_321,Chinese-Han,130
Na-English-Chinese-French,page_321,English-Latin,746
Na-English-Chinese-French,page_321,French-Latin,738
Na-English-Chinese-French,page_321,Na-IPA,412
Na-English-Chinese-French,page_321,Na-Latin,60
Nahuatl-French,page_74,French-Latin,2203
Nahuatl-French,page_74,Nahuatl-Latin,1248
Nahuatl-French,page_75,French-Latin,1728
Nahuatl-French,page_75,Nahuatl-Latin,1465
Nahuatl-French,page_75,Spanish-Latin,15
Nahuatl-French,page_244,French-Latin,2033
Nahuatl-French,page_244,Nahuatl-Latin,1502
Punjabi-English,page_28,English-Latin,1852
Punjabi-English,page_28,Punjabi-Gurmukhi,315
Punjabi-English,page_28,Punjabi-Latin,382
Punjabi-English,page_114,English-Latin,1796
Punjabi-English,page_114,Punjabi-Gurmukhi,281
Punjabi-English,page_114,Punjabi-Latin,474
Punjabi-English,page_300,English-Latin,1962
Punjabi-English,page_300,Punjabi-Gurmukhi,210
Punjabi-English,page_300,Punjabi-Latin,354
Reel-English,page_17,English-Latin,337
Reel-English,page_17,Reel-IPA,99
Reel-English,page_17,Reel-Latin,329
Reel-English,page_47,English-Latin,418
Reel-English,page_47,Reel-IPA,69
Reel-English,page_47,Reel-Latin,352
Reel-English,page_89,English-Latin,503
Reel-English,page_89,Reel-IPA,68
Reel-English,page_89,Reel-Latin,288
Ritharngu-English,page_185,English-Latin,1054
Ritharngu-English,page_185,Latin-Latin,73
Ritharngu-English,page_185,Ritharngu-Latin,394
Ritharngu-English,page_205,English-Latin,941
Ritharngu-English,page_205,Latin-Latin,84
Ritharngu-English,page_205,Ritharngu-Latin,569
Ritharngu-English,page_232,Dayi-Latin,5
Ritharngu-English,page_232,English-Latin,1189
Ritharngu-English,page_232,Ritharngu-Latin,464
Sanskrit-English,page_9,English-Latin,836
Sanskrit-English,page_9,Sanskrit-Devanagari,360
Sanskrit-English,page_559,English-Latin,1036
Sanskrit-English,page_559,Sanskrit-Devanagari,296
Sanskrit-English,page_559,Sanskrit-Latin,37
Sanskrit-English,page_880,English-Latin,896
Sanskrit-English,page_880,Sanskrit-Devanagari,378
Sanskrit-English,page_880,Sanskrit-Latin,22
Shilluk-English,page_3,English-Latin,1707
Shilluk-English,page_3,Shilluk-Latin,282
Shilluk-English,page_7,English-Latin,2025
Shilluk-English,page_7,Shilluk-Latin,328
Shilluk-English,page_28,English-Latin,2225
Shilluk-English,page_28,Shilluk-Latin,225
Syriac-English,page_33,English-Latin,797
Syriac-English,page_33,Persian-Arabic,63
Syriac-English,page_33,Syriac-Syriac,206
Syriac-English,page_33,Turkish-Arabic,7
Syriac-English,page_55,English-Latin,741
Syriac-English,page_55,Greek-Greek,14
Syriac-English,page_55,Persian-Arabic,31
Syriac-English,page_55,Syriac-Syriac,318
Syriac-English,page_75,English-Latin,806
Syriac-English,page_75,Greek-Greek,25
Syriac-English,page_75,Hebrew-Hebrew,8
Syriac-English,page_75,Persian-Arabic,29
Syriac-English,page_75,Syriac-Syriac,344
Telugu-English,page_80,English-Latin,1030
Telugu-English,page_80,Telugu-Telugu,167
Telugu-English,page_151,English-Latin,1237
Telugu-English,page_151,Telugu-Telugu,202
Telugu-English,page_646,English-Latin,1113
Telugu-English,page_646,Telugu-Telugu,205
Thai-Russian,page_67,Latin-Latin,12
Thai-Russian,page_67,Russian-Cyrillic,1009
Thai-Russian,page_67,Thai-Cyrillic,295
Thai-Russian,page_67,Thai-Thai,248
Thai-Russian,page_591,Latin-Latin,79
Thai-Russian,page_591,Russian-Cyrillic,898
Thai-Russian,page_591,Thai-Cyrillic,283
Thai-Russian,page_591,Thai-Thai,221
Thai-Russian,page_756,Latin-Latin,15
Thai-Russian,page_756,Russian-Cyrillic,949
Thai-Russian,page_756,Thai-Cyrillic,374
Thai-Russian,page_756,Thai-Thai,265
Tiri-English,page_15,English-Latin,853
Tiri-English,page_15,French-Latin,10
Tiri-English,page_15,Tiri-Latin,298
Tiri-English,page_56,English-Latin,985
Tiri-English,page_56,Tiri-Latin,357
Tiri-English,page_66,English-Latin,1026
Tiri-English,page_66,French-Latin,14
Tiri-English,page_66,Tiri-Latin,330
Vernacular Syriac-Kurdish_Turkish-English,page_26,Arabic-Arabic,38
Vernacular Syriac-Kurdish_Turkish-English,page_26,English-Latin,1204
Vernacular Syriac-Kurdish_Turkish-English,page_26,Kurdish-Latin,9
Vernacular Syriac-Kurdish_Turkish-English,page_26,Persian-Arabic,22
Vernacular Syriac-Kurdish_Turkish-English,page_26,Turkish-Arabic,50
Vernacular Syriac-Kurdish_Turkish-English,page_26,Vernacular Syriac-Latin,317
Vernacular Syriac-Kurdish_Turkish-English,page_26,Vernacular Syriac-Syriac,421
Vernacular Syriac-Kurdish_Turkish-English,page_41,Arabic-Arabic,30
Vernacular Syriac-Kurdish_Turkish-English,page_41,English-Latin,1213
Vernacular Syriac-Kurdish_Turkish-English,page_41,Greek-Greek,25
Vernacular Syriac-Kurdish_Turkish-English,page_41,Kurdish-Arabic,14
Vernacular Syriac-Kurdish_Turkish-English,page_41,Persian-Arabic,33
Vernacular Syriac-Kurdish_Turkish-English,page_41,Turkish-Arabic,36
Vernacular Syriac-Kurdish_Turkish-English,page_41,Vernacular Syriac-Latin,309
Vernacular Syriac-Kurdish_Turkish-English,page_41,Vernacular Syriac-Syriac,460
Vernacular Syriac-Kurdish_Turkish-English,page_228,English-Latin,1527
Vernacular Syriac-Kurdish_Turkish-English,page_228,Kurdish-Arabic,4
Vernacular Syriac-Kurdish_Turkish-English,page_228,Turkish-Arabic,8
Vernacular Syriac-Kurdish_Turkish-English,page_228,Vernacular Syriac-Latin,287
Vernacular Syriac-Kurdish_Turkish-English,page_228,Vernacular Syriac-Syriac,429
Yiddish-English,page_1,English-Latin,1152
Yiddish-English,page_1,Yiddish-Hebrew,461
